,n,a,e,completeness,spread
83,4.0,0.7999999999999999,0.0,0.5,0.4
84,5.0,0.7999999999999999,0.0,0.507,0.4
85,1.0,0.7999999999999999,0.0,0.44,0.5
86,2.0,0.7999999999999999,0.0,0.47,0.5
87,3.0,0.7999999999999999,0.0,0.496,0.5
88,4.0,0.7999999999999999,0.0,0.503,0.5
89,5.0,0.7999999999999999,0.0,0.514,0.5
90,1.0,0.8999999999999999,0.0,0.456,0.0
91,2.0,0.8999999999999999,0.0,0.496,0.0
92,3.0,0.8999999999999999,0.0,0.507,0.0
93,4.0,0.8999999999999999,0.0,0.523,0.0
94,5.0,0.8999999999999999,0.0,0.527,0.0
95,1.0,0.8999999999999999,0.0,0.467,0.1
96,2.0,0.8999999999999999,0.0,0.493,0.1
97,3.0,0.8999999999999999,0.0,0.515,0.1
98,4.0,0.8999999999999999,0.0,0.521,0.1
99,5.0,0.8999999999999999,0.0,0.519,0.1
100,1.0,0.8999999999999999,0.0,0.459,0.2
101,2.0,0.8999999999999999,0.0,0.491,0.2
102,3.0,0.8999999999999999,0.0,0.503,0.2
103,4.0,0.8999999999999999,0.0,0.501,0.2
104,5.0,0.8999999999999999,0.0,0.515,0.2
105,1.0,0.8999999999999999,0.0,0.455,0.30000000000000004
106,2.0,0.8999999999999999,0.0,0.486,0.30000000000000004
107,3.0,0.8999999999999999,0.0,0.501,0.30000000000000004
108,4.0,0.8999999999999999,0.0,0.511,0.30000000000000004
109,5.0,0.8999999999999999,0.0,0.521,0.30000000000000004
110,1.0,0.8999999999999999,0.0,0.458,0.4
111,2.0,0.8999999999999999,0.0,0.476,0.4
112,3.0,0.8999999999999999,0.0,0.492,0.4
113,4.0,0.8999999999999999,0.0,0.514,0.4
114,5.0,0.8999999999999999,0.0,0.507,0.4
115,1.0,0.8999999999999999,0.0,0.456,0.5
116,2.0,0.8999999999999999,0.0,0.479,0.5
117,3.0,0.8999999999999999,0.0,0.501,0.5
118,4.0,0.8999999999999999,0.0,0.506,0.5
119,5.0,0.8999999999999999,0.0,0.515,0.5
120,1.0,0.9999999999999999,0.0,0.453,0.0
121,2.0,0.9999999999999999,0.0,0.49,0.0
122,3.0,0.9999999999999999,0.0,0.51,0.0
123,4.0,0.9999999999999999,0.0,0.519,0.0
124,5.0,0.9999999999999999,0.0,0.525,0.0
125,1.0,0.9999999999999999,0.0,0.455,0.1
126,2.0,0.9999999999999999,0.0,0.493,0.1
127,3.0,0.9999999999999999,0.0,0.514,0.1
128,4.0,0.9999999999999999,0.0,0.519,0.1
129,5.0,0.9999999999999999,0.0,0.531,0.1
130,1.0,0.9999999999999999,0.0,0.459,0.2
131,2.0,0.9999999999999999,0.0,0.495,0.2
132,3.0,0.9999999999999999,0.0,0.514,0.2
133,4.0,0.9999999999999999,0.0,0.532,0.2
134,5.0,0.9999999999999999,0.0,0.534,0.2
135,1.0,0.9999999999999999,0.0,0.46,0.30000000000000004
136,2.0,0.9999999999999999,0.0,0.498,0.30000000000000004
137,3.0,0.9999999999999999,0.0,0.512,0.30000000000000004
138,4.0,0.9999999999999999,0.0,0.522,0.30000000000000004
139,5.0,0.9999999999999999,0.0,0.525,0.30000000000000004
140,1.0,0.9999999999999999,0.0,0.462,0.4
141,2.0,0.9999999999999999,0.0,0.498,0.4
142,3.0,0.9999999999999999,0.0,0.51,0.4
143,4.0,0.9999999999999999,0.0,0.517,0.4
144,5.0,0.9999999999999999,0.0,0.53,0.4
145,1.0,0.9999999999999999,0.0,0.454,0.5
146,2.0,0.9999999999999999,0.0,0.497,0.5
147,3.0,0.9999999999999999,0.0,0.503,0.5
148,4.0,0.9999999999999999,0.0,0.513,0.5
149,5.0,0.9999999999999999,0.0,0.522,0.5
150,1.0,1.0999999999999999,0.0,0.448,0.0
151,2.0,1.0999999999999999,0.0,0.483,0.0
152,3.0,1.0999999999999999,0.0,0.507,0.0
153,4.0,1.0999999999999999,0.0,0.514,0.0
154,5.0,1.0999999999999999,0.0,0.53,0.0
155,1.0,1.0999999999999999,0.0,0.457,0.1
156,2.0,1.0999999999999999,0.0,0.5,0.1
157,3.0,1.0999999999999999,0.0,0.503,0.1
158,4.0,1.0999999999999999,0.0,0.52,0.1
159,5.0,1.0999999999999999,0.0,0.527,0.1
160,1.0,1.0999999999999999,0.0,0.456,0.2
161,2.0,1.0999999999999999,0.0,0.496,0.2
162,3.0,1.0999999999999999,0.0,0.5,0.2
163,4.0,1.0999999999999999,0.0,0.503,0.2
164,5.0,1.0999999999999999,0.0,0.526,0.2
165,1.0,1.0999999999999999,0.0,0.46,0.30000000000000004
166,2.0,1.0999999999999999,0.0,0.484,0.30000000000000004
167,3.0,1.0999999999999999,0.0,0.496,0.30000000000000004
168,4.0,1.0999999999999999,0.0,0.526,0.30000000000000004
169,5.0,1.0999999999999999,0.0,0.519,0.30000000000000004
170,1.0,1.0999999999999999,0.0,0.463,0.4
171,2.0,1.0999999999999999,0.0,0.48,0.4
172,3.0,1.0999999999999999,0.0,0.504,0.4
173,4.0,1.0999999999999999,0.0,0.507,0.4
174,5.0,1.0999999999999999,0.0,0.513,0.4
175,1.0,1.0999999999999999,0.0,0.459,0.5
176,2.0,1.0999999999999999,0.0,0.476,0.5
177,3.0,1.0999999999999999,0.0,0.501,0.5
178,4.0,1.0999999999999999,0.0,0.499,0.5
179,5.0,1.0999999999999999,0.0,0.513,0.5
