,n,a,e,completeness
48,9.0,0.6000000000000001,0.0,0.692
49,10.0,0.6000000000000001,0.0,0.695
50,1.0,0.7000000000000002,0.0,0.527
51,2.0,0.7000000000000002,0.0,0.618
52,3.0,0.7000000000000002,0.0,0.654
53,4.0,0.7000000000000002,0.0,0.666
54,5.0,0.7000000000000002,0.0,0.681
55,6.0,0.7000000000000002,0.0,0.688
56,7.0,0.7000000000000002,0.0,0.689
57,8.0,0.7000000000000002,0.0,0.694
58,9.0,0.7000000000000002,0.0,0.697
59,10.0,0.7000000000000002,0.0,0.702
60,1.0,0.8000000000000003,0.0,0.519
61,2.0,0.8000000000000003,0.0,0.612
62,3.0,0.8000000000000003,0.0,0.653
63,4.0,0.8000000000000003,0.0,0.667
64,5.0,0.8000000000000003,0.0,0.687
65,6.0,0.8000000000000003,0.0,0.694
66,7.0,0.8000000000000003,0.0,0.697
67,8.0,0.8000000000000003,0.0,0.703
68,9.0,0.8000000000000003,0.0,0.71
69,10.0,0.8000000000000003,0.0,0.718
70,1.0,0.9000000000000001,0.0,0.5
71,2.0,0.9000000000000001,0.0,0.593
72,3.0,0.9000000000000001,0.0,0.639
73,4.0,0.9000000000000001,0.0,0.657
74,5.0,0.9000000000000001,0.0,0.688
75,6.0,0.9000000000000001,0.0,0.695
76,7.0,0.9000000000000001,0.0,0.702
77,8.0,0.9000000000000001,0.0,0.703
78,9.0,0.9000000000000001,0.0,0.708
79,10.0,0.9000000000000001,0.0,0.713
80,1.0,1.0000000000000002,0.0,0.493
81,2.0,1.0000000000000002,0.0,0.599
82,3.0,1.0000000000000002,0.0,0.65
83,4.0,1.0000000000000002,0.0,0.662
84,5.0,1.0000000000000002,0.0,0.684
85,6.0,1.0000000000000002,0.0,0.692
86,7.0,1.0000000000000002,0.0,0.7
87,8.0,1.0000000000000002,0.0,0.703
88,9.0,1.0000000000000002,0.0,0.715
89,10.0,1.0000000000000002,0.0,0.721
90,1.0,1.1000000000000003,0.0,0.487
91,2.0,1.1000000000000003,0.0,0.585
92,3.0,1.1000000000000003,0.0,0.629
93,4.0,1.1000000000000003,0.0,0.657
94,5.0,1.1000000000000003,0.0,0.686
95,6.0,1.1000000000000003,0.0,0.69
96,7.0,1.1000000000000003,0.0,0.692
97,8.0,1.1000000000000003,0.0,0.701
98,9.0,1.1000000000000003,0.0,0.698
99,10.0,1.1000000000000003,0.0,0.705
100,1.0,1.2000000000000004,0.0,0.466
101,2.0,1.2000000000000004,0.0,0.556
102,3.0,1.2000000000000004,0.0,0.604
103,4.0,1.2000000000000004,0.0,0.625
104,5.0,1.2000000000000004,0.0,0.653
105,6.0,1.2000000000000004,0.0,0.661
106,7.0,1.2000000000000004,0.0,0.671
107,8.0,1.2000000000000004,0.0,0.677
108,9.0,1.2000000000000004,0.0,0.686
109,10.0,1.2000000000000004,0.0,0.691
110,1.0,1.3000000000000003,0.0,0.458
111,2.0,1.3000000000000003,0.0,0.542
112,3.0,1.3000000000000003,0.0,0.587
113,4.0,1.3000000000000003,0.0,0.605
114,5.0,1.3000000000000003,0.0,0.631
115,6.0,1.3000000000000003,0.0,0.637
116,7.0,1.3000000000000003,0.0,0.654
117,8.0,1.3000000000000003,0.0,0.651
118,9.0,1.3000000000000003,0.0,0.656
119,10.0,1.3000000000000003,0.0,0.665
120,1.0,1.4000000000000004,0.0,0.442
121,2.0,1.4000000000000004,0.0,0.537
122,3.0,1.4000000000000004,0.0,0.58
123,4.0,1.4000000000000004,0.0,0.601
124,5.0,1.4000000000000004,0.0,0.624
125,6.0,1.4000000000000004,0.0,0.631
126,7.0,1.4000000000000004,0.0,0.62
127,8.0,1.4000000000000004,0.0,0.632
128,9.0,1.4000000000000004,0.0,0.637
129,10.0,1.4000000000000004,0.0,0.652
130,1.0,1.5000000000000004,0.0,0.427
131,2.0,1.5000000000000004,0.0,0.523
132,3.0,1.5000000000000004,0.0,0.565
133,4.0,1.5000000000000004,0.0,0.579
134,5.0,1.5000000000000004,0.0,0.605
135,6.0,1.5000000000000004,0.0,0.621
136,7.0,1.5000000000000004,0.0,0.623
137,8.0,1.5000000000000004,0.0,0.623
138,9.0,1.5000000000000004,0.0,0.625
139,10.0,1.5000000000000004,0.0,0.632
140,1.0,1.6000000000000003,0.0,0.414
141,2.0,1.6000000000000003,0.0,0.504
142,3.0,1.6000000000000003,0.0,0.532
143,4.0,1.6000000000000003,0.0,0.552
144,5.0,1.6000000000000003,0.0,0.59
145,6.0,1.6000000000000003,0.0,0.593
146,7.0,1.6000000000000003,0.0,0.601
147,8.0,1.6000000000000003,0.0,0.605
148,9.0,1.6000000000000003,0.0,0.61
149,10.0,1.6000000000000003,0.0,0.619
150,1.0,1.7000000000000004,0.0,0.392
151,2.0,1.7000000000000004,0.0,0.464
152,3.0,1.7000000000000004,0.0,0.505
153,4.0,1.7000000000000004,0.0,0.535
154,5.0,1.7000000000000004,0.0,0.556
155,6.0,1.7000000000000004,0.0,0.566
156,7.0,1.7000000000000004,0.0,0.574
157,8.0,1.7000000000000004,0.0,0.592
158,9.0,1.7000000000000004,0.0,0.595
159,10.0,1.7000000000000004,0.0,0.586
160,1.0,1.8000000000000005,0.0,0.374
161,2.0,1.8000000000000005,0.0,0.45
162,3.0,1.8000000000000005,0.0,0.486
163,4.0,1.8000000000000005,0.0,0.5
164,5.0,1.8000000000000005,0.0,0.539
165,6.0,1.8000000000000005,0.0,0.549
166,7.0,1.8000000000000005,0.0,0.55
167,8.0,1.8000000000000005,0.0,0.554
168,9.0,1.8000000000000005,0.0,0.564
169,10.0,1.8000000000000005,0.0,0.573
170,1.0,1.9000000000000006,0.0,0.36
171,2.0,1.9000000000000006,0.0,0.42
172,3.0,1.9000000000000006,0.0,0.466
173,4.0,1.9000000000000006,0.0,0.481
174,5.0,1.9000000000000006,0.0,0.505
175,6.0,1.9000000000000006,0.0,0.515
176,7.0,1.9000000000000006,0.0,0.53
177,8.0,1.9000000000000006,0.0,0.54
178,9.0,1.9000000000000006,0.0,0.543
179,10.0,1.9000000000000006,0.0,0.545
