,n,a,e,completeness
0,1.0,0.1,0.0,0.5104
1,2.0,0.1,0.0,0.5884
2,3.0,0.1,0.0,0.6196
3,4.0,0.1,0.0,0.6326
4,5.0,0.1,0.0,0.6432
5,1.0,0.15000000000000002,0.0,0.5104
6,2.0,0.15000000000000002,0.0,0.592
7,3.0,0.15000000000000002,0.0,0.6216
8,4.0,0.15000000000000002,0.0,0.6348
9,5.0,0.15000000000000002,0.0,0.6496
10,1.0,0.20000000000000004,0.0,0.5092
11,2.0,0.20000000000000004,0.0,0.5882
12,3.0,0.20000000000000004,0.0,0.6184
13,4.0,0.20000000000000004,0.0,0.633
14,5.0,0.20000000000000004,0.0,0.6504
15,1.0,0.25000000000000006,0.0,0.5066
16,2.0,0.25000000000000006,0.0,0.5894
17,3.0,0.25000000000000006,0.0,0.6214
18,4.0,0.25000000000000006,0.0,0.6366
19,5.0,0.25000000000000006,0.0,0.6506
20,1.0,0.30000000000000004,0.0,0.5078
21,2.0,0.30000000000000004,0.0,0.586
22,3.0,0.30000000000000004,0.0,0.6238
23,4.0,0.30000000000000004,0.0,0.6402
24,5.0,0.30000000000000004,0.0,0.6556
25,1.0,0.3500000000000001,0.0,0.5028
26,2.0,0.3500000000000001,0.0,0.5904
27,3.0,0.3500000000000001,0.0,0.6258
28,4.0,0.3500000000000001,0.0,0.6442
29,5.0,0.3500000000000001,0.0,0.6558
30,1.0,0.40000000000000013,0.0,0.5024
31,2.0,0.40000000000000013,0.0,0.5918
32,3.0,0.40000000000000013,0.0,0.6286
33,4.0,0.40000000000000013,0.0,0.6464
34,5.0,0.40000000000000013,0.0,0.6626
35,1.0,0.45000000000000007,0.0,0.5018
36,2.0,0.45000000000000007,0.0,0.5956
37,3.0,0.45000000000000007,0.0,0.634
38,4.0,0.45000000000000007,0.0,0.6498
39,5.0,0.45000000000000007,0.0,0.6656
40,1.0,0.5000000000000001,0.0,0.505
41,2.0,0.5000000000000001,0.0,0.594
42,3.0,0.5000000000000001,0.0,0.6356
43,4.0,0.5000000000000001,0.0,0.652
44,5.0,0.5000000000000001,0.0,0.6724
45,1.0,0.5500000000000002,0.0,0.5016
46,2.0,0.5500000000000002,0.0,0.5974
47,3.0,0.5500000000000002,0.0,0.6398
48,4.0,0.5500000000000002,0.0,0.6544
49,5.0,0.5500000000000002,0.0,0.6756
50,1.0,0.6000000000000002,0.0,0.5086
51,2.0,0.6000000000000002,0.0,0.5984
52,3.0,0.6000000000000002,0.0,0.6416
53,4.0,0.6000000000000002,0.0,0.66
54,5.0,0.6000000000000002,0.0,0.6788
55,1.0,0.6500000000000001,0.0,0.5068
56,2.0,0.6500000000000001,0.0,0.598
57,3.0,0.6500000000000001,0.0,0.6434
58,4.0,0.6500000000000001,0.0,0.6604
59,5.0,0.6500000000000001,0.0,0.6852
60,1.0,0.7000000000000002,0.0,0.5042
61,2.0,0.7000000000000002,0.0,0.5958
62,3.0,0.7000000000000002,0.0,0.6458
63,4.0,0.7000000000000002,0.0,0.6638
64,5.0,0.7000000000000002,0.0,0.686
65,1.0,0.7500000000000002,0.0,0.501
66,2.0,0.7500000000000002,0.0,0.5946
67,3.0,0.7500000000000002,0.0,0.6434
68,4.0,0.7500000000000002,0.0,0.6646
69,5.0,0.7500000000000002,0.0,0.6916
70,1.0,0.8000000000000002,0.0,0.4984
71,2.0,0.8000000000000002,0.0,0.5942
72,3.0,0.8000000000000002,0.0,0.6436
73,4.0,0.8000000000000002,0.0,0.6652
74,5.0,0.8000000000000002,0.0,0.6922
75,1.0,0.8500000000000002,0.0,0.4962
76,2.0,0.8500000000000002,0.0,0.5886
77,3.0,0.8500000000000002,0.0,0.6392
78,4.0,0.8500000000000002,0.0,0.664
79,5.0,0.8500000000000002,0.0,0.6918
80,1.0,0.9000000000000002,0.0,0.4904
81,2.0,0.9000000000000002,0.0,0.588
82,3.0,0.9000000000000002,0.0,0.642
83,4.0,0.9000000000000002,0.0,0.6608
84,5.0,0.9000000000000002,0.0,0.6904
85,1.0,0.9500000000000003,0.0,0.4878
86,2.0,0.9500000000000003,0.0,0.5858
87,3.0,0.9500000000000003,0.0,0.637
88,4.0,0.9500000000000003,0.0,0.6546
89,5.0,0.9500000000000003,0.0,0.6884
90,1.0,1.0000000000000004,0.0,0.4786
91,2.0,1.0000000000000004,0.0,0.5796
92,3.0,1.0000000000000004,0.0,0.6334
93,4.0,1.0000000000000004,0.0,0.6564
94,5.0,1.0000000000000004,0.0,0.6886
95,1.0,1.0500000000000003,0.0,0.475
96,2.0,1.0500000000000003,0.0,0.5764
97,3.0,1.0500000000000003,0.0,0.6288
98,4.0,1.0500000000000003,0.0,0.6512
99,5.0,1.0500000000000003,0.0,0.6828
100,1.0,1.1000000000000005,0.0,0.471
101,2.0,1.1000000000000005,0.0,0.5716
102,3.0,1.1000000000000005,0.0,0.6258
103,4.0,1.1000000000000005,0.0,0.6466
104,5.0,1.1000000000000005,0.0,0.6836
105,1.0,1.1500000000000004,0.0,0.4612
106,2.0,1.1500000000000004,0.0,0.5708
107,3.0,1.1500000000000004,0.0,0.6182
108,4.0,1.1500000000000004,0.0,0.643
109,5.0,1.1500000000000004,0.0,0.6754
110,1.0,1.2000000000000004,0.0,0.456
111,2.0,1.2000000000000004,0.0,0.5602
112,3.0,1.2000000000000004,0.0,0.6128
113,4.0,1.2000000000000004,0.0,0.6328
114,5.0,1.2000000000000004,0.0,0.668
115,1.0,1.2500000000000004,0.0,0.446
116,2.0,1.2500000000000004,0.0,0.5454
117,3.0,1.2500000000000004,0.0,0.5926
118,4.0,1.2500000000000004,0.0,0.6236
119,5.0,1.2500000000000004,0.0,0.657
120,1.0,1.3000000000000005,0.0,0.4412
121,2.0,1.3000000000000005,0.0,0.533
122,3.0,1.3000000000000005,0.0,0.5808
123,4.0,1.3000000000000005,0.0,0.6018
124,5.0,1.3000000000000005,0.0,0.6324
125,1.0,1.3500000000000005,0.0,0.433
126,2.0,1.3500000000000005,0.0,0.5206
127,3.0,1.3500000000000005,0.0,0.5714
128,4.0,1.3500000000000005,0.0,0.5912
129,5.0,1.3500000000000005,0.0,0.6262
130,1.0,1.4000000000000006,0.0,0.4212
131,2.0,1.4000000000000006,0.0,0.5134
132,3.0,1.4000000000000006,0.0,0.5584
133,4.0,1.4000000000000006,0.0,0.5834
134,5.0,1.4000000000000006,0.0,0.6166
135,1.0,1.4500000000000006,0.0,0.4136
136,2.0,1.4500000000000006,0.0,0.5022
137,3.0,1.4500000000000006,0.0,0.551
138,4.0,1.4500000000000006,0.0,0.5716
139,5.0,1.4500000000000006,0.0,0.602
140,1.0,1.5000000000000004,0.0,0.4058
141,2.0,1.5000000000000004,0.0,0.4962
142,3.0,1.5000000000000004,0.0,0.5396
143,4.0,1.5000000000000004,0.0,0.5666
144,5.0,1.5000000000000004,0.0,0.5948
145,1.0,1.5500000000000005,0.0,0.4046
146,2.0,1.5500000000000005,0.0,0.4876
147,3.0,1.5500000000000005,0.0,0.5346
148,4.0,1.5500000000000005,0.0,0.5538
149,5.0,1.5500000000000005,0.0,0.5886
150,1.0,1.6000000000000005,0.0,0.3926
151,2.0,1.6000000000000005,0.0,0.4768
152,3.0,1.6000000000000005,0.0,0.5194
153,4.0,1.6000000000000005,0.0,0.5436
154,5.0,1.6000000000000005,0.0,0.5786
155,1.0,1.6500000000000006,0.0,0.3838
156,2.0,1.6500000000000006,0.0,0.463
157,3.0,1.6500000000000006,0.0,0.5098
158,4.0,1.6500000000000006,0.0,0.5318
159,5.0,1.6500000000000006,0.0,0.5684
160,1.0,1.7000000000000006,0.0,0.3736
161,2.0,1.7000000000000006,0.0,0.4556
162,3.0,1.7000000000000006,0.0,0.4954
163,4.0,1.7000000000000006,0.0,0.5156
164,5.0,1.7000000000000006,0.0,0.5496
165,1.0,1.7500000000000007,0.0,0.369
166,2.0,1.7500000000000007,0.0,0.4496
167,3.0,1.7500000000000007,0.0,0.4878
168,4.0,1.7500000000000007,0.0,0.509
169,5.0,1.7500000000000007,0.0,0.5412
170,1.0,1.8000000000000007,0.0,0.3612
171,2.0,1.8000000000000007,0.0,0.4368
172,3.0,1.8000000000000007,0.0,0.4764
173,4.0,1.8000000000000007,0.0,0.4908
174,5.0,1.8000000000000007,0.0,0.5238
175,1.0,1.8500000000000008,0.0,0.3554
176,2.0,1.8500000000000008,0.0,0.4338
177,3.0,1.8500000000000008,0.0,0.472
178,4.0,1.8500000000000008,0.0,0.4842
179,5.0,1.8500000000000008,0.0,0.5116
180,1.0,1.9000000000000008,0.0,0.3518
181,2.0,1.9000000000000008,0.0,0.4212
182,3.0,1.9000000000000008,0.0,0.4566
183,4.0,1.9000000000000008,0.0,0.4754
184,5.0,1.9000000000000008,0.0,0.5064
185,1.0,1.9500000000000006,0.0,0.3412
186,2.0,1.9500000000000006,0.0,0.4104
187,3.0,1.9500000000000006,0.0,0.4486
188,4.0,1.9500000000000006,0.0,0.4658
189,5.0,1.9500000000000006,0.0,0.4926
