,n,a,e,completeness,spread
105,6.0,1.2000000000000004,0.0,0.491,0.2
106,7.0,1.2000000000000004,0.0,0.494,0.2
107,8.0,1.2000000000000004,0.0,0.497,0.2
108,9.0,1.2000000000000004,0.0,0.506,0.2
109,10.0,1.2000000000000004,0.0,0.503,0.2
110,1.0,1.3000000000000003,0.0,0.408,0.2
111,2.0,1.3000000000000003,0.0,0.441,0.2
112,3.0,1.3000000000000003,0.0,0.46,0.2
113,4.0,1.3000000000000003,0.0,0.456,0.2
114,5.0,1.3000000000000003,0.0,0.462,0.2
115,6.0,1.3000000000000003,0.0,0.474,0.2
116,7.0,1.3000000000000003,0.0,0.469,0.2
117,8.0,1.3000000000000003,0.0,0.47,0.2
118,9.0,1.3000000000000003,0.0,0.481,0.2
119,10.0,1.3000000000000003,0.0,0.491,0.2
120,1.0,1.4000000000000004,0.0,0.403,0.2
121,2.0,1.4000000000000004,0.0,0.445,0.2
122,3.0,1.4000000000000004,0.0,0.452,0.2
123,4.0,1.4000000000000004,0.0,0.458,0.2
124,5.0,1.4000000000000004,0.0,0.468,0.2
125,6.0,1.4000000000000004,0.0,0.463,0.2
126,7.0,1.4000000000000004,0.0,0.468,0.2
127,8.0,1.4000000000000004,0.0,0.463,0.2
128,9.0,1.4000000000000004,0.0,0.461,0.2
129,10.0,1.4000000000000004,0.0,0.471,0.2
130,1.0,1.5000000000000004,0.0,0.401,0.2
131,2.0,1.5000000000000004,0.0,0.431,0.2
132,3.0,1.5000000000000004,0.0,0.436,0.2
133,4.0,1.5000000000000004,0.0,0.445,0.2
134,5.0,1.5000000000000004,0.0,0.445,0.2
135,6.0,1.5000000000000004,0.0,0.448,0.2
136,7.0,1.5000000000000004,0.0,0.458,0.2
137,8.0,1.5000000000000004,0.0,0.451,0.2
138,9.0,1.5000000000000004,0.0,0.461,0.2
139,10.0,1.5000000000000004,0.0,0.458,0.2
140,1.0,1.6000000000000003,0.0,0.376,0.2
141,2.0,1.6000000000000003,0.0,0.412,0.2
142,3.0,1.6000000000000003,0.0,0.426,0.2
143,4.0,1.6000000000000003,0.0,0.438,0.2
144,5.0,1.6000000000000003,0.0,0.444,0.2
145,6.0,1.6000000000000003,0.0,0.434,0.2
146,7.0,1.6000000000000003,0.0,0.443,0.2
147,8.0,1.6000000000000003,0.0,0.445,0.2
148,9.0,1.6000000000000003,0.0,0.449,0.2
149,10.0,1.6000000000000003,0.0,0.446,0.2
150,1.0,1.7000000000000004,0.0,0.351,0.2
151,2.0,1.7000000000000004,0.0,0.387,0.2
152,3.0,1.7000000000000004,0.0,0.409,0.2
153,4.0,1.7000000000000004,0.0,0.413,0.2
154,5.0,1.7000000000000004,0.0,0.422,0.2
155,6.0,1.7000000000000004,0.0,0.42,0.2
156,7.0,1.7000000000000004,0.0,0.428,0.2
157,8.0,1.7000000000000004,0.0,0.445,0.2
158,9.0,1.7000000000000004,0.0,0.444,0.2
159,10.0,1.7000000000000004,0.0,0.431,0.2
160,1.0,1.8000000000000005,0.0,0.329,0.2
161,2.0,1.8000000000000005,0.0,0.369,0.2
162,3.0,1.8000000000000005,0.0,0.383,0.2
163,4.0,1.8000000000000005,0.0,0.396,0.2
164,5.0,1.8000000000000005,0.0,0.41,0.2
165,6.0,1.8000000000000005,0.0,0.41,0.2
166,7.0,1.8000000000000005,0.0,0.412,0.2
167,8.0,1.8000000000000005,0.0,0.415,0.2
168,9.0,1.8000000000000005,0.0,0.421,0.2
169,10.0,1.8000000000000005,0.0,0.417,0.2
170,1.0,1.9000000000000006,0.0,0.331,0.2
171,2.0,1.9000000000000006,0.0,0.346,0.2
172,3.0,1.9000000000000006,0.0,0.362,0.2
173,4.0,1.9000000000000006,0.0,0.371,0.2
174,5.0,1.9000000000000006,0.0,0.379,0.2
175,6.0,1.9000000000000006,0.0,0.383,0.2
176,7.0,1.9000000000000006,0.0,0.384,0.2
177,8.0,1.9000000000000006,0.0,0.402,0.2
178,9.0,1.9000000000000006,0.0,0.406,0.2
179,10.0,1.9000000000000006,0.0,0.404,0.2
