,n,a,e,completeness,spread
107,3.0,1.2499999999999998,0.0,0.459,0.2
108,4.0,1.2499999999999998,0.0,0.461,0.2
109,5.0,1.2499999999999998,0.0,0.476,0.2
110,1.0,1.2999999999999996,0.0,0.403,0.2
111,2.0,1.2999999999999996,0.0,0.442,0.2
112,3.0,1.2999999999999996,0.0,0.464,0.2
113,4.0,1.2999999999999996,0.0,0.461,0.2
114,5.0,1.2999999999999996,0.0,0.465,0.2
115,1.0,1.3499999999999996,0.0,0.414,0.2
116,2.0,1.3499999999999996,0.0,0.441,0.2
117,3.0,1.3499999999999996,0.0,0.445,0.2
118,4.0,1.3499999999999996,0.0,0.46,0.2
119,5.0,1.3499999999999996,0.0,0.462,0.2
120,1.0,1.3999999999999997,0.0,0.413,0.2
121,2.0,1.3999999999999997,0.0,0.44,0.2
122,3.0,1.3999999999999997,0.0,0.451,0.2
123,4.0,1.3999999999999997,0.0,0.459,0.2
124,5.0,1.3999999999999997,0.0,0.459,0.2
125,1.0,1.4499999999999997,0.0,0.398,0.2
126,2.0,1.4499999999999997,0.0,0.433,0.2
127,3.0,1.4499999999999997,0.0,0.445,0.2
128,4.0,1.4499999999999997,0.0,0.449,0.2
129,5.0,1.4499999999999997,0.0,0.457,0.2
130,1.0,1.4999999999999998,0.0,0.4,0.2
131,2.0,1.4999999999999998,0.0,0.427,0.2
132,3.0,1.4999999999999998,0.0,0.432,0.2
133,4.0,1.4999999999999998,0.0,0.446,0.2
134,5.0,1.4999999999999998,0.0,0.45,0.2
135,1.0,1.5499999999999996,0.0,0.387,0.2
136,2.0,1.5499999999999996,0.0,0.422,0.2
137,3.0,1.5499999999999996,0.0,0.434,0.2
138,4.0,1.5499999999999996,0.0,0.443,0.2
139,5.0,1.5499999999999996,0.0,0.438,0.2
140,1.0,1.5999999999999996,0.0,0.374,0.2
141,2.0,1.5999999999999996,0.0,0.413,0.2
142,3.0,1.5999999999999996,0.0,0.426,0.2
143,4.0,1.5999999999999996,0.0,0.435,0.2
144,5.0,1.5999999999999996,0.0,0.447,0.2
145,1.0,1.6499999999999997,0.0,0.376,0.2
146,2.0,1.6499999999999997,0.0,0.401,0.2
147,3.0,1.6499999999999997,0.0,0.409,0.2
148,4.0,1.6499999999999997,0.0,0.419,0.2
149,5.0,1.6499999999999997,0.0,0.441,0.2
150,1.0,1.6999999999999995,0.0,0.351,0.2
151,2.0,1.6999999999999995,0.0,0.394,0.2
152,3.0,1.6999999999999995,0.0,0.407,0.2
153,4.0,1.6999999999999995,0.0,0.416,0.2
154,5.0,1.6999999999999995,0.0,0.419,0.2
155,1.0,1.7499999999999996,0.0,0.357,0.2
156,2.0,1.7499999999999996,0.0,0.386,0.2
157,3.0,1.7499999999999996,0.0,0.39,0.2
158,4.0,1.7499999999999996,0.0,0.397,0.2
159,5.0,1.7499999999999996,0.0,0.418,0.2
160,1.0,1.7999999999999996,0.0,0.337,0.2
161,2.0,1.7999999999999996,0.0,0.365,0.2
162,3.0,1.7999999999999996,0.0,0.388,0.2
163,4.0,1.7999999999999996,0.0,0.4,0.2
164,5.0,1.7999999999999996,0.0,0.405,0.2
165,1.0,1.8499999999999996,0.0,0.334,0.2
166,2.0,1.8499999999999996,0.0,0.365,0.2
167,3.0,1.8499999999999996,0.0,0.363,0.2
168,4.0,1.8499999999999996,0.0,0.379,0.2
169,5.0,1.8499999999999996,0.0,0.394,0.2
