,n,a,e,completeness
122,3.0,1.3000000000000005,0.0,0.575
123,4.0,1.3000000000000005,0.0,0.596
124,5.0,1.3000000000000005,0.0,0.621
125,1.0,1.3500000000000005,0.0,0.42
126,2.0,1.3500000000000005,0.0,0.512
127,3.0,1.3500000000000005,0.0,0.558
128,4.0,1.3500000000000005,0.0,0.58
129,5.0,1.3500000000000005,0.0,0.617
130,1.0,1.4000000000000006,0.0,0.415
131,2.0,1.4000000000000006,0.0,0.506
132,3.0,1.4000000000000006,0.0,0.557
133,4.0,1.4000000000000006,0.0,0.58
134,5.0,1.4000000000000006,0.0,0.609
135,1.0,1.4500000000000006,0.0,0.406
136,2.0,1.4500000000000006,0.0,0.491
137,3.0,1.4500000000000006,0.0,0.545
138,4.0,1.4500000000000006,0.0,0.568
139,5.0,1.4500000000000006,0.0,0.592
140,1.0,1.5000000000000004,0.0,0.394
141,2.0,1.5000000000000004,0.0,0.489
142,3.0,1.5000000000000004,0.0,0.529
143,4.0,1.5000000000000004,0.0,0.554
144,5.0,1.5000000000000004,0.0,0.577
145,1.0,1.5500000000000005,0.0,0.393
146,2.0,1.5500000000000005,0.0,0.479
147,3.0,1.5500000000000005,0.0,0.518
148,4.0,1.5500000000000005,0.0,0.549
149,5.0,1.5500000000000005,0.0,0.583
150,1.0,1.6000000000000005,0.0,0.381
151,2.0,1.6000000000000005,0.0,0.469
152,3.0,1.6000000000000005,0.0,0.506
153,4.0,1.6000000000000005,0.0,0.535
154,5.0,1.6000000000000005,0.0,0.562
155,1.0,1.6500000000000006,0.0,0.368
156,2.0,1.6500000000000006,0.0,0.446
157,3.0,1.6500000000000006,0.0,0.495
158,4.0,1.6500000000000006,0.0,0.526
159,5.0,1.6500000000000006,0.0,0.552
160,1.0,1.7000000000000006,0.0,0.369
161,2.0,1.7000000000000006,0.0,0.434
162,3.0,1.7000000000000006,0.0,0.473
163,4.0,1.7000000000000006,0.0,0.501
164,5.0,1.7000000000000006,0.0,0.538
165,1.0,1.7500000000000007,0.0,0.362
166,2.0,1.7500000000000007,0.0,0.439
167,3.0,1.7500000000000007,0.0,0.464
168,4.0,1.7500000000000007,0.0,0.482
169,5.0,1.7500000000000007,0.0,0.512
170,1.0,1.8000000000000007,0.0,0.353
171,2.0,1.8000000000000007,0.0,0.426
172,3.0,1.8000000000000007,0.0,0.452
173,4.0,1.8000000000000007,0.0,0.472
174,5.0,1.8000000000000007,0.0,0.512
175,1.0,1.8500000000000008,0.0,0.346
176,2.0,1.8500000000000008,0.0,0.425
177,3.0,1.8500000000000008,0.0,0.452
178,4.0,1.8500000000000008,0.0,0.47
179,5.0,1.8500000000000008,0.0,0.49
180,1.0,1.9000000000000008,0.0,0.333
181,2.0,1.9000000000000008,0.0,0.413
182,3.0,1.9000000000000008,0.0,0.448
183,4.0,1.9000000000000008,0.0,0.453
184,5.0,1.9000000000000008,0.0,0.487
185,1.0,1.9500000000000006,0.0,0.328
186,2.0,1.9500000000000006,0.0,0.402
187,3.0,1.9500000000000006,0.0,0.433
188,4.0,1.9500000000000006,0.0,0.454
189,5.0,1.9500000000000006,0.0,0.47
