,n,a,e,completeness,spread
91,2.0,0.7,0.0,0.592,0.9000000000000001
92,3.0,0.7,0.0,0.627,0.9000000000000001
93,4.0,0.7,0.0,0.654,0.9000000000000001
94,5.0,0.7,0.0,0.675,0.9000000000000001
95,1.0,0.7,0.0,0.497,1.0000000000000002
96,2.0,0.7,0.0,0.588,1.0000000000000002
97,3.0,0.7,0.0,0.626,1.0000000000000002
98,4.0,0.7,0.0,0.652,1.0000000000000002
99,5.0,0.7,0.0,0.666,1.0000000000000002
100,1.0,0.7,0.0,0.502,1.1000000000000003
101,2.0,0.7,0.0,0.582,1.1000000000000003
102,3.0,0.7,0.0,0.629,1.1000000000000003
103,4.0,0.7,0.0,0.65,1.1000000000000003
104,5.0,0.7,0.0,0.667,1.1000000000000003
105,1.0,0.7,0.0,0.501,1.2000000000000004
106,2.0,0.7,0.0,0.585,1.2000000000000004
107,3.0,0.7,0.0,0.632,1.2000000000000004
108,4.0,0.7,0.0,0.654,1.2000000000000004
109,5.0,0.7,0.0,0.663,1.2000000000000004
110,1.0,0.7999999999999999,0.0,0.496,0.2
111,2.0,0.7999999999999999,0.0,0.587,0.2
112,3.0,0.7999999999999999,0.0,0.641,0.2
113,4.0,0.7999999999999999,0.0,0.659,0.2
114,5.0,0.7999999999999999,0.0,0.685,0.2
115,1.0,0.7999999999999999,0.0,0.486,0.30000000000000004
116,2.0,0.7999999999999999,0.0,0.589,0.30000000000000004
117,3.0,0.7999999999999999,0.0,0.639,0.30000000000000004
118,4.0,0.7999999999999999,0.0,0.666,0.30000000000000004
119,5.0,0.7999999999999999,0.0,0.687,0.30000000000000004
120,1.0,0.7999999999999999,0.0,0.489,0.4000000000000001
121,2.0,0.7999999999999999,0.0,0.586,0.4000000000000001
122,3.0,0.7999999999999999,0.0,0.641,0.4000000000000001
123,4.0,0.7999999999999999,0.0,0.656,0.4000000000000001
124,5.0,0.7999999999999999,0.0,0.685,0.4000000000000001
125,1.0,0.7999999999999999,0.0,0.491,0.5000000000000001
126,2.0,0.7999999999999999,0.0,0.596,0.5000000000000001
127,3.0,0.7999999999999999,0.0,0.641,0.5000000000000001
128,4.0,0.7999999999999999,0.0,0.659,0.5000000000000001
129,5.0,0.7999999999999999,0.0,0.677,0.5000000000000001
130,1.0,0.7999999999999999,0.0,0.488,0.6000000000000001
131,2.0,0.7999999999999999,0.0,0.585,0.6000000000000001
132,3.0,0.7999999999999999,0.0,0.631,0.6000000000000001
133,4.0,0.7999999999999999,0.0,0.657,0.6000000000000001
134,5.0,0.7999999999999999,0.0,0.665,0.6000000000000001
135,1.0,0.7999999999999999,0.0,0.494,0.7000000000000002
136,2.0,0.7999999999999999,0.0,0.591,0.7000000000000002
137,3.0,0.7999999999999999,0.0,0.634,0.7000000000000002
138,4.0,0.7999999999999999,0.0,0.652,0.7000000000000002
139,5.0,0.7999999999999999,0.0,0.675,0.7000000000000002
140,1.0,0.7999999999999999,0.0,0.49,0.8000000000000003
141,2.0,0.7999999999999999,0.0,0.58,0.8000000000000003
142,3.0,0.7999999999999999,0.0,0.636,0.8000000000000003
143,4.0,0.7999999999999999,0.0,0.653,0.8000000000000003
144,5.0,0.7999999999999999,0.0,0.672,0.8000000000000003
145,1.0,0.7999999999999999,0.0,0.488,0.9000000000000001
146,2.0,0.7999999999999999,0.0,0.585,0.9000000000000001
147,3.0,0.7999999999999999,0.0,0.626,0.9000000000000001
148,4.0,0.7999999999999999,0.0,0.65,0.9000000000000001
149,5.0,0.7999999999999999,0.0,0.673,0.9000000000000001
150,1.0,0.7999999999999999,0.0,0.495,1.0000000000000002
151,2.0,0.7999999999999999,0.0,0.588,1.0000000000000002
152,3.0,0.7999999999999999,0.0,0.63,1.0000000000000002
153,4.0,0.7999999999999999,0.0,0.654,1.0000000000000002
154,5.0,0.7999999999999999,0.0,0.669,1.0000000000000002
155,1.0,0.7999999999999999,0.0,0.495,1.1000000000000003
156,2.0,0.7999999999999999,0.0,0.589,1.1000000000000003
