,n,a,e,completeness,spread
115,1.0,0.7999999999999999,0.30000000000000004,0.445,0.2
116,2.0,0.7999999999999999,0.30000000000000004,0.475,0.2
117,3.0,0.7999999999999999,0.30000000000000004,0.495,0.2
118,4.0,0.7999999999999999,0.30000000000000004,0.503,0.2
119,5.0,0.7999999999999999,0.30000000000000004,0.514,0.2
120,1.0,0.7999999999999999,0.4,0.432,0.2
121,2.0,0.7999999999999999,0.4,0.47,0.2
122,3.0,0.7999999999999999,0.4,0.482,0.2
123,4.0,0.7999999999999999,0.4,0.499,0.2
124,5.0,0.7999999999999999,0.4,0.512,0.2
125,1.0,0.7999999999999999,0.5,0.417,0.2
126,2.0,0.7999999999999999,0.5,0.446,0.2
127,3.0,0.7999999999999999,0.5,0.471,0.2
128,4.0,0.7999999999999999,0.5,0.484,0.2
129,5.0,0.7999999999999999,0.5,0.491,0.2
130,1.0,0.7999999999999999,0.6000000000000001,0.374,0.2
131,2.0,0.7999999999999999,0.6000000000000001,0.411,0.2
132,3.0,0.7999999999999999,0.6000000000000001,0.44,0.2
133,4.0,0.7999999999999999,0.6000000000000001,0.464,0.2
134,5.0,0.7999999999999999,0.6000000000000001,0.471,0.2
135,1.0,0.7999999999999999,0.7000000000000001,0.319,0.2
136,2.0,0.7999999999999999,0.7000000000000001,0.388,0.2
137,3.0,0.7999999999999999,0.7000000000000001,0.418,0.2
138,4.0,0.7999999999999999,0.7000000000000001,0.425,0.2
139,5.0,0.7999999999999999,0.7000000000000001,0.448,0.2
140,1.0,0.7999999999999999,0.8,0.238,0.2
141,2.0,0.7999999999999999,0.8,0.304,0.2
142,3.0,0.7999999999999999,0.8,0.342,0.2
143,4.0,0.7999999999999999,0.8,0.353,0.2
144,5.0,0.7999999999999999,0.8,0.393,0.2
145,1.0,0.7999999999999999,0.9,0.118,0.2
146,2.0,0.7999999999999999,0.9,0.183,0.2
147,3.0,0.7999999999999999,0.9,0.226,0.2
148,4.0,0.7999999999999999,0.9,0.259,0.2
149,5.0,0.7999999999999999,0.9,0.319,0.2
150,1.0,0.8999999999999999,0.0,0.457,0.2
151,2.0,0.8999999999999999,0.0,0.496,0.2
152,3.0,0.8999999999999999,0.0,0.501,0.2
153,4.0,0.8999999999999999,0.0,0.508,0.2
154,5.0,0.8999999999999999,0.0,0.517,0.2
155,1.0,0.8999999999999999,0.1,0.459,0.2
156,2.0,0.8999999999999999,0.1,0.501,0.2
157,3.0,0.8999999999999999,0.1,0.514,0.2
158,4.0,0.8999999999999999,0.1,0.512,0.2
159,5.0,0.8999999999999999,0.1,0.514,0.2
160,1.0,0.8999999999999999,0.2,0.458,0.2
161,2.0,0.8999999999999999,0.2,0.493,0.2
162,3.0,0.8999999999999999,0.2,0.515,0.2
163,4.0,0.8999999999999999,0.2,0.516,0.2
164,5.0,0.8999999999999999,0.2,0.52,0.2
165,1.0,0.8999999999999999,0.30000000000000004,0.448,0.2
166,2.0,0.8999999999999999,0.30000000000000004,0.481,0.2
167,3.0,0.8999999999999999,0.30000000000000004,0.495,0.2
168,4.0,0.8999999999999999,0.30000000000000004,0.508,0.2
169,5.0,0.8999999999999999,0.30000000000000004,0.52,0.2
170,1.0,0.8999999999999999,0.4,0.423,0.2
171,2.0,0.8999999999999999,0.4,0.46,0.2
172,3.0,0.8999999999999999,0.4,0.482,0.2
173,4.0,0.8999999999999999,0.4,0.489,0.2
174,5.0,0.8999999999999999,0.4,0.503,0.2
175,1.0,0.8999999999999999,0.5,0.393,0.2
176,2.0,0.8999999999999999,0.5,0.437,0.2
177,3.0,0.8999999999999999,0.5,0.457,0.2
178,4.0,0.8999999999999999,0.5,0.47,0.2
179,5.0,0.8999999999999999,0.5,0.474,0.2
180,1.0,0.8999999999999999,0.6000000000000001,0.351,0.2
181,2.0,0.8999999999999999,0.6000000000000001,0.399,0.2
