,n,a,e,completeness,spread
121,2.0,0.7,0.0,0.615,0.15000000000000002
122,3.0,0.7,0.0,0.649,0.15000000000000002
123,4.0,0.7,0.0,0.667,0.15000000000000002
124,5.0,0.7,0.0,0.681,0.15000000000000002
125,6.0,0.7,0.0,0.689,0.15000000000000002
126,7.0,0.7,0.0,0.694,0.15000000000000002
127,8.0,0.7,0.0,0.695,0.15000000000000002
128,9.0,0.7,0.0,0.7,0.15000000000000002
129,10.0,0.7,0.0,0.697,0.15000000000000002
130,1.0,0.7,0.0,0.52,0.2
131,2.0,0.7,0.0,0.614,0.2
132,3.0,0.7,0.0,0.647,0.2
133,4.0,0.7,0.0,0.668,0.2
134,5.0,0.7,0.0,0.684,0.2
135,6.0,0.7,0.0,0.69,0.2
136,7.0,0.7,0.0,0.691,0.2
137,8.0,0.7,0.0,0.692,0.2
138,9.0,0.7,0.0,0.698,0.2
139,10.0,0.7,0.0,0.706,0.2
140,1.0,0.7,0.0,0.527,0.25
141,2.0,0.7,0.0,0.613,0.25
142,3.0,0.7,0.0,0.653,0.25
143,4.0,0.7,0.0,0.663,0.25
144,5.0,0.7,0.0,0.687,0.25
145,6.0,0.7,0.0,0.687,0.25
146,7.0,0.7,0.0,0.693,0.25
147,8.0,0.7,0.0,0.699,0.25
148,9.0,0.7,0.0,0.695,0.25
149,10.0,0.7,0.0,0.704,0.25
150,1.0,0.7,0.0,0.529,0.3
151,2.0,0.7,0.0,0.616,0.3
152,3.0,0.7,0.0,0.646,0.3
153,4.0,0.7,0.0,0.664,0.3
154,5.0,0.7,0.0,0.687,0.3
155,6.0,0.7,0.0,0.693,0.3
156,7.0,0.7,0.0,0.694,0.3
157,8.0,0.7,0.0,0.697,0.3
158,9.0,0.7,0.0,0.699,0.3
159,10.0,0.7,0.0,0.703,0.3
160,1.0,0.7,0.0,0.53,0.35000000000000003
161,2.0,0.7,0.0,0.61,0.35000000000000003
162,3.0,0.7,0.0,0.647,0.35000000000000003
163,4.0,0.7,0.0,0.661,0.35000000000000003
164,5.0,0.7,0.0,0.686,0.35000000000000003
165,6.0,0.7,0.0,0.689,0.35000000000000003
166,7.0,0.7,0.0,0.696,0.35000000000000003
167,8.0,0.7,0.0,0.698,0.35000000000000003
168,9.0,0.7,0.0,0.7,0.35000000000000003
169,10.0,0.7,0.0,0.704,0.35000000000000003
170,1.0,0.7,0.0,0.537,0.4
171,2.0,0.7,0.0,0.613,0.4
172,3.0,0.7,0.0,0.649,0.4
173,4.0,0.7,0.0,0.669,0.4
174,5.0,0.7,0.0,0.688,0.4
175,6.0,0.7,0.0,0.691,0.4
176,7.0,0.7,0.0,0.69,0.4
177,8.0,0.7,0.0,0.693,0.4
178,9.0,0.7,0.0,0.704,0.4
179,10.0,0.7,0.0,0.705,0.4
180,1.0,0.7,0.0,0.532,0.45
181,2.0,0.7,0.0,0.62,0.45
182,3.0,0.7,0.0,0.649,0.45
183,4.0,0.7,0.0,0.662,0.45
184,5.0,0.7,0.0,0.685,0.45
185,6.0,0.7,0.0,0.69,0.45
186,7.0,0.7,0.0,0.695,0.45
187,8.0,0.7,0.0,0.695,0.45
188,9.0,0.7,0.0,0.706,0.45
189,10.0,0.7,0.0,0.702,0.45
190,1.0,0.7,0.0,0.528,0.5
191,2.0,0.7,0.0,0.613,0.5
192,3.0,0.7,0.0,0.651,0.5
193,4.0,0.7,0.0,0.664,0.5
194,5.0,0.7,0.0,0.683,0.5
195,6.0,0.7,0.0,0.686,0.5
196,7.0,0.7,0.0,0.691,0.5
197,8.0,0.7,0.0,0.701,0.5
198,9.0,0.7,0.0,0.698,0.5
199,10.0,0.7,0.0,0.697,0.5
200,1.0,0.7999999999999999,0.0,0.526,0.05
201,2.0,0.7999999999999999,0.0,0.613,0.05
202,3.0,0.7999999999999999,0.0,0.655,0.05
203,4.0,0.7999999999999999,0.0,0.666,0.05
204,5.0,0.7999999999999999,0.0,0.689,0.05
205,6.0,0.7999999999999999,0.0,0.699,0.05
206,7.0,0.7999999999999999,0.0,0.703,0.05
207,8.0,0.7999999999999999,0.0,0.705,0.05
208,9.0,0.7999999999999999,0.0,0.711,0.05
209,10.0,0.7999999999999999,0.0,0.709,0.05
210,1.0,0.7999999999999999,0.0,0.515,0.1
211,2.0,0.7999999999999999,0.0,0.615,0.1
212,3.0,0.7999999999999999,0.0,0.651,0.1
213,4.0,0.7999999999999999,0.0,0.668,0.1
214,5.0,0.7999999999999999,0.0,0.685,0.1
215,6.0,0.7999999999999999,0.0,0.697,0.1
216,7.0,0.7999999999999999,0.0,0.697,0.1
217,8.0,0.7999999999999999,0.0,0.705,0.1
218,9.0,0.7999999999999999,0.0,0.711,0.1
219,10.0,0.7999999999999999,0.0,0.711,0.1
220,1.0,0.7999999999999999,0.0,0.518,0.15000000000000002
221,2.0,0.7999999999999999,0.0,0.611,0.15000000000000002
222,3.0,0.7999999999999999,0.0,0.653,0.15000000000000002
223,4.0,0.7999999999999999,0.0,0.666,0.15000000000000002
224,5.0,0.7999999999999999,0.0,0.689,0.15000000000000002
225,6.0,0.7999999999999999,0.0,0.694,0.15000000000000002
226,7.0,0.7999999999999999,0.0,0.7,0.15000000000000002
227,8.0,0.7999999999999999,0.0,0.7,0.15000000000000002
228,9.0,0.7999999999999999,0.0,0.709,0.15000000000000002
229,10.0,0.7999999999999999,0.0,0.707,0.15000000000000002
230,1.0,0.7999999999999999,0.0,0.517,0.2
231,2.0,0.7999999999999999,0.0,0.612,0.2
232,3.0,0.7999999999999999,0.0,0.653,0.2
233,4.0,0.7999999999999999,0.0,0.667,0.2
234,5.0,0.7999999999999999,0.0,0.688,0.2
235,6.0,0.7999999999999999,0.0,0.699,0.2
236,7.0,0.7999999999999999,0.0,0.697,0.2
237,8.0,0.7999999999999999,0.0,0.702,0.2
238,9.0,0.7999999999999999,0.0,0.705,0.2
239,10.0,0.7999999999999999,0.0,0.713,0.2
240,1.0,0.7999999999999999,0.0,0.517,0.25
241,2.0,0.7999999999999999,0.0,0.607,0.25
242,3.0,0.7999999999999999,0.0,0.655,0.25
243,4.0,0.7999999999999999,0.0,0.666,0.25
244,5.0,0.7999999999999999,0.0,0.693,0.25
245,6.0,0.7999999999999999,0.0,0.694,0.25
246,7.0,0.7999999999999999,0.0,0.697,0.25
247,8.0,0.7999999999999999,0.0,0.705,0.25
248,9.0,0.7999999999999999,0.0,0.714,0.25
249,10.0,0.7999999999999999,0.0,0.715,0.25
250,1.0,0.7999999999999999,0.0,0.522,0.3
251,2.0,0.7999999999999999,0.0,0.613,0.3
252,3.0,0.7999999999999999,0.0,0.649,0.3
253,4.0,0.7999999999999999,0.0,0.67,0.3
254,5.0,0.7999999999999999,0.0,0.69,0.3
255,6.0,0.7999999999999999,0.0,0.698,0.3
256,7.0,0.7999999999999999,0.0,0.708,0.3
257,8.0,0.7999999999999999,0.0,0.707,0.3
