,n,a,e,completeness,spread
38,4.0,0.6,0.0,0.586,0.9000000000000001
39,5.0,0.6,0.0,0.6,0.9000000000000001
40,1.0,0.6,0.0,0.507,1.0000000000000002
41,2.0,0.6,0.0,0.54,1.0000000000000002
42,3.0,0.6,0.0,0.569,1.0000000000000002
43,4.0,0.6,0.0,0.589,1.0000000000000002
44,5.0,0.6,0.0,0.601,1.0000000000000002
45,1.0,0.6,0.0,0.504,1.1000000000000003
46,2.0,0.6,0.0,0.535,1.1000000000000003
47,3.0,0.6,0.0,0.575,1.1000000000000003
48,4.0,0.6,0.0,0.589,1.1000000000000003
49,5.0,0.6,0.0,0.604,1.1000000000000003
50,1.0,0.6,0.0,0.501,1.2000000000000004
51,2.0,0.6,0.0,0.543,1.2000000000000004
52,3.0,0.6,0.0,0.563,1.2000000000000004
53,4.0,0.6,0.0,0.585,1.2000000000000004
54,5.0,0.6,0.0,0.605,1.2000000000000004
55,1.0,0.7,0.0,0.505,0.2
56,2.0,0.7,0.0,0.535,0.2
57,3.0,0.7,0.0,0.545,0.2
58,4.0,0.7,0.0,0.559,0.2
59,5.0,0.7,0.0,0.568,0.2
60,1.0,0.7,0.0,0.501,0.30000000000000004
61,2.0,0.7,0.0,0.532,0.30000000000000004
62,3.0,0.7,0.0,0.538,0.30000000000000004
63,4.0,0.7,0.0,0.559,0.30000000000000004
64,5.0,0.7,0.0,0.574,0.30000000000000004
65,1.0,0.7,0.0,0.501,0.4000000000000001
66,2.0,0.7,0.0,0.529,0.4000000000000001
67,3.0,0.7,0.0,0.555,0.4000000000000001
68,4.0,0.7,0.0,0.565,0.4000000000000001
69,5.0,0.7,0.0,0.592,0.4000000000000001
70,1.0,0.7,0.0,0.507,0.5000000000000001
71,2.0,0.7,0.0,0.525,0.5000000000000001
72,3.0,0.7,0.0,0.553,0.5000000000000001
73,4.0,0.7,0.0,0.578,0.5000000000000001
74,5.0,0.7,0.0,0.593,0.5000000000000001
75,1.0,0.7,0.0,0.504,0.6000000000000001
76,2.0,0.7,0.0,0.545,0.6000000000000001
77,3.0,0.7,0.0,0.555,0.6000000000000001
78,4.0,0.7,0.0,0.574,0.6000000000000001
79,5.0,0.7,0.0,0.602,0.6000000000000001
80,1.0,0.7,0.0,0.504,0.7000000000000002
81,2.0,0.7,0.0,0.538,0.7000000000000002
82,3.0,0.7,0.0,0.563,0.7000000000000002
83,4.0,0.7,0.0,0.582,0.7000000000000002
84,5.0,0.7,0.0,0.602,0.7000000000000002
85,1.0,0.7,0.0,0.502,0.8000000000000003
86,2.0,0.7,0.0,0.544,0.8000000000000003
87,3.0,0.7,0.0,0.572,0.8000000000000003
88,4.0,0.7,0.0,0.594,0.8000000000000003
89,5.0,0.7,0.0,0.602,0.8000000000000003
90,1.0,0.7,0.0,0.509,0.9000000000000001
91,2.0,0.7,0.0,0.543,0.9000000000000001
92,3.0,0.7,0.0,0.578,0.9000000000000001
93,4.0,0.7,0.0,0.589,0.9000000000000001
94,5.0,0.7,0.0,0.602,0.9000000000000001
95,1.0,0.7,0.0,0.494,1.0000000000000002
96,2.0,0.7,0.0,0.541,1.0000000000000002
97,3.0,0.7,0.0,0.57,1.0000000000000002
98,4.0,0.7,0.0,0.596,1.0000000000000002
99,5.0,0.7,0.0,0.61,1.0000000000000002
100,1.0,0.7,0.0,0.496,1.1000000000000003
101,2.0,0.7,0.0,0.545,1.1000000000000003
102,3.0,0.7,0.0,0.575,1.1000000000000003
103,4.0,0.7,0.0,0.594,1.1000000000000003
104,5.0,0.7,0.0,0.611,1.1000000000000003
105,1.0,0.7,0.0,0.502,1.2000000000000004
106,2.0,0.7,0.0,0.55,1.2000000000000004
107,3.0,0.7,0.0,0.577,1.2000000000000004
108,4.0,0.7,0.0,0.591,1.2000000000000004
109,5.0,0.7,0.0,0.616,1.2000000000000004
110,1.0,0.7999999999999999,0.0,0.488,0.2
111,2.0,0.7999999999999999,0.0,0.514,0.2
112,3.0,0.7999999999999999,0.0,0.533,0.2
113,4.0,0.7999999999999999,0.0,0.549,0.2
114,5.0,0.7999999999999999,0.0,0.558,0.2
115,1.0,0.7999999999999999,0.0,0.488,0.30000000000000004
116,2.0,0.7999999999999999,0.0,0.518,0.30000000000000004
117,3.0,0.7999999999999999,0.0,0.544,0.30000000000000004
118,4.0,0.7999999999999999,0.0,0.552,0.30000000000000004
119,5.0,0.7999999999999999,0.0,0.572,0.30000000000000004
120,1.0,0.7999999999999999,0.0,0.492,0.4000000000000001
121,2.0,0.7999999999999999,0.0,0.523,0.4000000000000001
122,3.0,0.7999999999999999,0.0,0.542,0.4000000000000001
123,4.0,0.7999999999999999,0.0,0.563,0.4000000000000001
124,5.0,0.7999999999999999,0.0,0.578,0.4000000000000001
125,1.0,0.7999999999999999,0.0,0.496,0.5000000000000001
126,2.0,0.7999999999999999,0.0,0.521,0.5000000000000001
127,3.0,0.7999999999999999,0.0,0.556,0.5000000000000001
128,4.0,0.7999999999999999,0.0,0.567,0.5000000000000001
129,5.0,0.7999999999999999,0.0,0.582,0.5000000000000001
130,1.0,0.7999999999999999,0.0,0.487,0.6000000000000001
131,2.0,0.7999999999999999,0.0,0.527,0.6000000000000001
132,3.0,0.7999999999999999,0.0,0.553,0.6000000000000001
133,4.0,0.7999999999999999,0.0,0.572,0.6000000000000001
134,5.0,0.7999999999999999,0.0,0.593,0.6000000000000001
135,1.0,0.7999999999999999,0.0,0.498,0.7000000000000002
136,2.0,0.7999999999999999,0.0,0.53,0.7000000000000002
137,3.0,0.7999999999999999,0.0,0.557,0.7000000000000002
138,4.0,0.7999999999999999,0.0,0.577,0.7000000000000002
139,5.0,0.7999999999999999,0.0,0.601,0.7000000000000002
140,1.0,0.7999999999999999,0.0,0.49,0.8000000000000003
141,2.0,0.7999999999999999,0.0,0.53,0.8000000000000003
142,3.0,0.7999999999999999,0.0,0.569,0.8000000000000003
143,4.0,0.7999999999999999,0.0,0.583,0.8000000000000003
144,5.0,0.7999999999999999,0.0,0.611,0.8000000000000003
145,1.0,0.7999999999999999,0.0,0.49,0.9000000000000001
146,2.0,0.7999999999999999,0.0,0.535,0.9000000000000001
147,3.0,0.7999999999999999,0.0,0.566,0.9000000000000001
148,4.0,0.7999999999999999,0.0,0.588,0.9000000000000001
149,5.0,0.7999999999999999,0.0,0.614,0.9000000000000001
150,1.0,0.7999999999999999,0.0,0.489,1.0000000000000002
151,2.0,0.7999999999999999,0.0,0.537,1.0000000000000002
152,3.0,0.7999999999999999,0.0,0.568,1.0000000000000002
153,4.0,0.7999999999999999,0.0,0.6,1.0000000000000002
154,5.0,0.7999999999999999,0.0,0.62,1.0000000000000002
155,1.0,0.7999999999999999,0.0,0.498,1.1000000000000003
156,2.0,0.7999999999999999,0.0,0.536,1.1000000000000003
157,3.0,0.7999999999999999,0.0,0.575,1.1000000000000003
158,4.0,0.7999999999999999,0.0,0.603,1.1000000000000003
159,5.0,0.7999999999999999,0.0,0.616,1.1000000000000003
160,1.0,0.7999999999999999,0.0,0.492,1.2000000000000004
161,2.0,0.7999999999999999,0.0,0.541,1.2000000000000004
162,3.0,0.7999999999999999,0.0,0.583,1.2000000000000004
163,4.0,0.7999999999999999,0.0,0.61,1.2000000000000004
164,5.0,0.7999999999999999,0.0,0.616,1.2000000000000004
165,1.0,0.8999999999999999,0.0,0.483,0.2
166,2.0,0.8999999999999999,0.0,0.509,0.2
167,3.0,0.8999999999999999,0.0,0.522,0.2
168,4.0,0.8999999999999999,0.0,0.541,0.2
169,5.0,0.8999999999999999,0.0,0.551,0.2
170,1.0,0.8999999999999999,0.0,0.482,0.30000000000000004
171,2.0,0.8999999999999999,0.0,0.512,0.30000000000000004
172,3.0,0.8999999999999999,0.0,0.525,0.30000000000000004
173,4.0,0.8999999999999999,0.0,0.541,0.30000000000000004
174,5.0,0.8999999999999999,0.0,0.559,0.30000000000000004
175,1.0,0.8999999999999999,0.0,0.481,0.4000000000000001
176,2.0,0.8999999999999999,0.0,0.506,0.4000000000000001
177,3.0,0.8999999999999999,0.0,0.528,0.4000000000000001
178,4.0,0.8999999999999999,0.0,0.551,0.4000000000000001
179,5.0,0.8999999999999999,0.0,0.571,0.4000000000000001
180,1.0,0.8999999999999999,0.0,0.487,0.5000000000000001
181,2.0,0.8999999999999999,0.0,0.517,0.5000000000000001
182,3.0,0.8999999999999999,0.0,0.528,0.5000000000000001
183,4.0,0.8999999999999999,0.0,0.553,0.5000000000000001
184,5.0,0.8999999999999999,0.0,0.578,0.5000000000000001
185,1.0,0.8999999999999999,0.0,0.482,0.6000000000000001
186,2.0,0.8999999999999999,0.0,0.513,0.6000000000000001
187,3.0,0.8999999999999999,0.0,0.543,0.6000000000000001
188,4.0,0.8999999999999999,0.0,0.568,0.6000000000000001
189,5.0,0.8999999999999999,0.0,0.594,0.6000000000000001
190,1.0,0.8999999999999999,0.0,0.482,0.7000000000000002
